licencia_id,origen,municipio,direccion_consultada,lat,lon,etiqueta_icgc,geocodificado,en_ciudad,municipio_poligono,municipio_coincide
HB-004700,hotel_at,Barcelona,"Carrer del Consell de Cent 276, Barcelona",41.38915264,2.16330335,,True,True,Barcelona,True
HB-004701,hotel_at,Barcelona,"Carrer Bruc 150, Barcelona",41.39746349,2.16555402,,True,True,Barcelona,True
HB-004705,hotel_at,Barcelona,"Carrer Bailèn 188, Barcelona",41.40124592,2.16508152,,True,True,Barcelona,True
HB-004706,hotel_at,Barcelona,"Carrer de Girona 85, Barcelona",41.39540003,2.17017915,,True,True,Barcelona,True
HB-004707,hotel_at,Barcelona,"Carrer de Girona 81, Barcelona",41.39524186,2.17038759,,True,True,Barcelona,True
HB-004708,hotel_at,Barcelona,"Carrer de Girona 81, Barcelona",41.39524186,2.17038759,,True,True,Barcelona,True
HB-004642,hotel_at,Barcelona,"Gran Via CORTS CATALANES 682, Barcelona",41.39268519,2.17305614,,True,True,Barcelona,True
HB-000320,hotel_at,Barcelona,"Carrer Pau Claris 74, Barcelona",41.38938401,2.17174449,,True,True,Barcelona,True
HB-004553,hotel_at,Barcelona,"Carrer Bruc 14, Barcelona",41.39022404,2.17514113,,True,True,Barcelona,True
HB-000362,hotel_at,Barcelona,"Carrer Fontanella 16, Barcelona",41.38798429,2.17249943,,True,True,Barcelona,True
HB-004558,hotel_at,Barcelona,"Carrer Roger de Flor 294, Barcelona",41.40384175,2.16617099,,True,True,Barcelona,True
HB-004560,hotel_at,Barcelona,"Carrer de Sant Agustí 4, Barcelona",41.39845393,2.16054802,,True,True,Barcelona,True
HB-004569,hotel_at,Barcelona,"Passeig Gràcia 115, Barcelona",41.39705199,2.15834624,,True,True,Barcelona,True
HB-004570,hotel_at,Barcelona,"Avinguda Diagonal 439, Barcelona",41.39393174,2.15021505,,True,True,Barcelona,True
HB-004571,hotel_at,Barcelona,"Carrer Rosselló 231, Barcelona",41.39391417,2.15796195,,True,True,Barcelona,True
HB-003451,hotel_at,Barcelona,"Carrer Nou de la Rambla 50, Barcelona",41.37749523,2.17252112,,True,True,Barcelona,True
HB-004575,hotel_at,Barcelona,"Carrer Reina Cristina 13, Barcelona",41.3821105,2.18371075,,True,True,Barcelona,True
HB-004576,hotel_at,Barcelona,"Carrer CASPE 28, Barcelona",41.44056036,2.18650291,,True,True,Barcelona,True
HB-004584,hotel_at,Barcelona,"Carrer Fontrodona 15, Barcelona",41.37350298,2.16725308,,True,True,Barcelona,True
HB-004586,hotel_at,Barcelona,"Carrer Mallorca 209, Barcelona",41.3905583,2.15802495,,True,True,Barcelona,True
HB-004588,hotel_at,Barcelona,"Carrer d' Enric Granados 44, Barcelona",41.39109351,2.15819679,,True,True,Barcelona,True
HB-004589,hotel_at,Barcelona,"Carrer Gran Via Corts Catalanes 657, Barcelona",41.3935394,2.1733128,,True,True,Barcelona,True
HB-004590,hotel_at,Barcelona,"Carrer Gran Via Corts Catalanes 547, Barcelona",41.38353186,2.15999195,,True,True,Barcelona,True
HB-004594,hotel_at,Barcelona,"Carrer Roger de Lluria 33, Barcelona",41.39208243,2.17005398,,True,True,Barcelona,True
HB-004601,hotel_at,Barcelona,"Avinguda Josep Tarradellas 114, Barcelona",41.38960283,2.14372671,,True,True,Barcelona,True
HB-004633,hotel_at,Barcelona,"Carrer Aragó 224, Barcelona",41.38852829,2.16030836,,True,True,Barcelona,True
HB-004602,hotel_at,Barcelona,"Carrer Riera Sant Miquel 74, Barcelona",41.3987292,2.15415468,,True,True,Barcelona,True
HB-004603,hotel_at,Barcelona,"Carrer Riera Sant Miquel 74, Barcelona",41.3987292,2.15415468,,True,True,Barcelona,True
HB-004604,hotel_at,Barcelona,"Carrer Riera Sant Miquel 74, Barcelona",41.3987292,2.15415468,,True,True,Barcelona,True
HB-004605,hotel_at,Barcelona,"Carrer Riera Sant Miquel 74, Barcelona",41.3987292,2.15415468,,True,True,Barcelona,True
HB-004608,hotel_at,Barcelona,"Ronda Sant Pere 7, Barcelona",41.38850517,2.17109971,,True,True,Barcelona,True
HB-004610,hotel_at,Barcelona,"Carrer Valencia 305, Barcelona",41.39614782,2.16771419,,True,True,Barcelona,True
HB-004611,hotel_at,Barcelona,"Carrer Comte Urgell 18, Barcelona",41.37987145,2.1618463,,True,True,Barcelona,True
HB-004615,hotel_at,Barcelona,"Carrer de Malgrat 40, Barcelona",41.42826978,2.17990496,,True,True,Barcelona,True
HB-004617,hotel_at,Barcelona,"Carrer Balmes 60, Barcelona",41.38960627,2.16243068,,True,True,Barcelona,True
HB-004618,hotel_at,Barcelona,"Carrer Balmes 60, Barcelona",41.38960627,2.16243068,,True,True,Barcelona,True
HB-004621,hotel_at,Barcelona,"Carrer de Casp 39, Barcelona",41.39177155,2.17373271,,True,True,Barcelona,True
HB-004622,hotel_at,Barcelona,"Rambla Catalunya 84, Barcelona",41.39263443,2.16158557,,True,True,Barcelona,True
HB-004626,hotel_at,Barcelona,"Carrer Aribau 226, Barcelona",41.39518332,2.15052643,,True,True,Barcelona,True
HB-004631,hotel_at,Barcelona,"Passeig Gràcia 78, Barcelona",41.39388676,2.16328497,,True,True,Barcelona,True
HB-004366,hotel_at,Barcelona,"Carrer Rosselló 242, Barcelona",41.39620261,2.16134209,,True,True,Barcelona,True
HB-004361,hotel_at,Barcelona,"Carrer Bailen 42, Barcelona",41.39369461,2.17507165,,True,True,Barcelona,True
HB-004713,hotel_at,Barcelona,"Rambla Catalunya 1, Barcelona",41.38751781,2.16804398,,True,True,Barcelona,True
HB-002662,hotel_at,Barcelona,"Carrer Junta del Comerç 11, Barcelona",41.37999769,2.17139567,,True,True,Barcelona,True
HB-003974,hotel_at,Barcelona,"Carrer Carme 38, Barcelona",41.38204935,2.16976815,,True,True,Barcelona,True
HB-002935,hotel_at,Barcelona,"Carrer Manuel Sancho 2, Barcelona",41.43039981,2.18182606,,True,True,Barcelona,True
HB-002927,hotel_at,Barcelona,"Gran Via de les Corts Catalanes 304, Barcelona",41.37246036,2.14621603,,True,True,Barcelona,True
HB-002907,hotel_at,Barcelona,"Carrer Comte de Güell 32, Barcelona",41.37742895,2.12266419,,True,True,Barcelona,True
HB-002895,hotel_at,Barcelona,"Carrer Elkano 78, Barcelona",41.37409817,2.16021961,,True,True,Barcelona,True
HB-002875,hotel_at,Barcelona,"Carrer Fontanella 14, Barcelona",41.38792459,2.1724482,,True,True,Barcelona,True
HB-002851,hotel_at,Barcelona,"Avinguda del Paral·lel 119, Barcelona",41.37480558,2.16072275,,True,True,Barcelona,True
HB-002835,hotel_at,Barcelona,"Carrer Laforja 63, Barcelona",41.39707911,2.14652315,,True,True,Barcelona,True
HB-004005,hotel_at,Barcelona,"Avinguda de Roma 1, Barcelona",41.38101786,2.14378351,,True,True,Barcelona,True
HB-002775,hotel_at,Barcelona,"Carrer Roser 40, Barcelona",41.37290068,2.16628973,,True,True,Barcelona,True
HB-002741,hotel_at,Barcelona,"Plaça Bonsuccés 6, Barcelona",41.38382674,2.16963089,,True,True,Barcelona,True
HB-002721,hotel_at,Barcelona,"Carrer Provença 323, Barcelona",41.39903231,2.16700076,,True,True,Barcelona,True
HB-002714,hotel_at,Barcelona,"Carrer Nou de Zurbano 4, Barcelona",41.37951203,2.17556505,,True,True,Barcelona,True
HB-002694,hotel_at,Barcelona,"Carrer Casanova 13, Barcelona",41.38245621,2.16249035,,True,True,Barcelona,True
HB-004039,hotel_at,Barcelona,"Carrer Balmes 55, Barcelona",41.38949575,2.1622051,,True,True,Barcelona,True
HB-002961,hotel_at,Barcelona,"Carrer Mozart 15, Barcelona",41.39931984,2.15823272,,True,True,Barcelona,True
HB-002619,hotel_at,Barcelona,"Avinguda Portal de l'Àngel 24, Barcelona",41.3859101,2.17286707,,True,True,Barcelona,True
HB-002608,hotel_at,Barcelona,"Carrer Torrent de l' Olla 95, Barcelona",41.40189969,2.15735782,,True,True,Barcelona,True
HB-002600,hotel_at,Barcelona,"Carrer Còrsega 201, Barcelona",41.39054569,2.1512164,,True,True,Barcelona,True
HB-004077,hotel_at,Barcelona,"Carrer Cartagena 369, Barcelona",41.41336455,2.17127138,,True,True,Barcelona,True
HB-004080,hotel_at,Barcelona,"Carrer Casanova 155, Barcelona",41.39101712,2.15115918,,True,True,Barcelona,True
HB-002491,hotel_at,Barcelona,"Carrer Antoni de Capmany 82, Barcelona",41.37503135,2.13542446,,True,True,Barcelona,True
HB-004083,hotel_at,Barcelona,"Carrer Laforja 67, Barcelona",41.39691661,2.14624897,,True,True,Barcelona,True
HB-004092,hotel_at,Barcelona,"Carrer Pau Claris 74, Barcelona",41.38938401,2.17174449,,True,True,Barcelona,True
HB-002406,hotel_at,Barcelona,"Carrer Calella 1, Barcelona",41.38148514,2.17856331,,True,True,Barcelona,True
HB-004104,hotel_at,Barcelona,"Carrer Mallorca 290, Barcelona",41.39645088,2.166216,,True,True,Barcelona,True
HB-002357,hotel_at,Barcelona,"Carrer Gran de Gràcia 239, Barcelona",41.40537782,2.15067405,,True,True,Barcelona,True
HB-004107,hotel_at,Barcelona,"Carrer de Còrsega 546, Barcelona",41.40662721,2.17291317,,True,True,Barcelona,True
HB-004112,hotel_at,Barcelona,"Rambla Catalunya 27, Barcelona",41.38906064,2.16593789,,True,True,Barcelona,True
HB-004116,hotel_at,Barcelona,"Carrer Sant Pere Mes Alt 6, Barcelona",41.38722238,2.1754495,,True,True,Barcelona,True
HB-003960,hotel_at,Barcelona,"Carrer Sant Pau 2, Barcelona",41.38091751,2.17315716,,True,True,Barcelona,True
HUTB-008203,vut,Barcelona,"Carrer Xifre 39, Barcelona",41.40944573,2.18266523,,True,True,Barcelona,True
HB-004120,hotel_at,Barcelona,"Carrer Balmes 55, Barcelona",41.38949575,2.1622051,,True,True,Barcelona,True
HB-003800,hotel_at,Barcelona,"Carrer Aribau 233, Barcelona",41.39750708,2.14753688,,True,True,Barcelona,True
HB-003566,hotel_at,Barcelona,"Carrer Hospital 107, Barcelona",41.37990177,2.16870122,,True,True,Barcelona,True
HB-003376,hotel_at,Barcelona,"Carrer Comerç 29, Barcelona",41.38489519,2.18444724,,True,True,Barcelona,True
HB-003657,hotel_at,Barcelona,"Carrer Trafalgar 39, Barcelona",41.39002266,2.17710554,,True,True,Barcelona,True
HB-003662,hotel_at,Barcelona,"Carrer Verge 16, Barcelona",41.38374571,2.16473734,,True,True,Barcelona,True
