licencia_id,origen,municipio,direccion_consultada,lat,lon,etiqueta_icgc,geocodificado,en_ciudad
HUTB-006696,vut,Santa Susanna,"Passeig Marítim s/n, Santa Susanna",,,,False,False
HUTB-006697,vut,Santa Susanna,"Passeig Marítim s/n, Santa Susanna",,,,False,False
HUTB-006698,vut,Santa Susanna,"Passeig Marítim s/n, Santa Susanna",,,,False,False
HUTB-006699,vut,Santa Susanna,"Passeig Marítim s/n, Santa Susanna",,,,False,False
HUTB-006700,vut,Santa Susanna,"Passeig Marítim s/n, Santa Susanna",,,,False,False
HUTB-006701,vut,Santa Susanna,"Passeig Marítim s/n, Santa Susanna",,,,False,False
HUTB-006702,vut,Santa Susanna,"Passeig Marítim s/n, Santa Susanna",,,,False,False
HUTB-006703,vut,Santa Susanna,"Passeig Marítim s/n, Santa Susanna",,,,False,False
HUTB-007665,vut,Malgrat de Mar,"Passatge Olof Palme 15, Malgrat de Mar",41.6481457,2.74736348,,True,False
HUTB-007720,vut,Pineda de Mar,"Carrer Arpelles 16, Pineda de Mar",41.62687232,2.69324978,,True,False
HUTB-012739,vut,Sitges,"Carrer Sant Benet 30, Sitges",41.23840157,1.80235269,,True,False
HUTB-008309,vut,Sitges,"Carrer Europa 10, Sitges",41.23729625,1.80569288,,True,False
HUTB-008353,vut,Sant Pere de Ribes,"Carrer Joan Maragall 40, Sant Pere de Ribes",41.25995346,1.76827904,,True,False
HUTB-008354,vut,Sant Pere de Ribes,"Carrer Joan Maragall 40, Sant Pere de Ribes",41.25995346,1.76827904,,True,False
HUTB-008355,vut,Sant Pere de Ribes,"Carrer Joan Maragall 40, Sant Pere de Ribes",41.25995346,1.76827904,,True,False
HUTB-008356,vut,Sant Pere de Ribes,"Carrer Joan Maragall 40, Sant Pere de Ribes",41.25995346,1.76827904,,True,False
HUTB-008357,vut,Sant Pere de Ribes,"Carrer Joan Maragall 40, Sant Pere de Ribes",41.25995346,1.76827904,,True,False
HUTB-008358,vut,Sant Pere de Ribes,"Carrer Joan Maragall 40, Sant Pere de Ribes",41.25995346,1.76827904,,True,False
HUTB-008359,vut,Sant Pere de Ribes,"Carrer Joan Maragall 40, Sant Pere de Ribes",41.25995346,1.76827904,,True,False
HUTB-008360,vut,Sant Pere de Ribes,"Carrer Joan Maragall 40, Sant Pere de Ribes",41.25995346,1.76827904,,True,False
HUTB-008361,vut,Sant Pere de Ribes,"Carrer Joan Maragall 40, Sant Pere de Ribes",41.25995346,1.76827904,,True,False
HUTB-008362,vut,Sant Pere de Ribes,"Carrer Joan Maragall 40, Sant Pere de Ribes",41.25995346,1.76827904,,True,False
HUTB-008363,vut,Sant Pere de Ribes,"Carrer Joan Maragall 40, Sant Pere de Ribes",41.25995346,1.76827904,,True,False
HUTB-008364,vut,Sant Pere de Ribes,"Carrer Joan Maragall 40, Sant Pere de Ribes",41.25995346,1.76827904,,True,False
HUTB-008365,vut,Sant Pere de Ribes,"Carrer Joan Maragall 40, Sant Pere de Ribes",41.25995346,1.76827904,,True,False
HUTB-008366,vut,Sant Pere de Ribes,"Carrer Joan Maragall 40, Sant Pere de Ribes",41.25995346,1.76827904,,True,False
HUTB-008367,vut,Sant Pere de Ribes,"Carrer Joan Maragall 40, Sant Pere de Ribes",41.25995346,1.76827904,,True,False
HUTB-008368,vut,Sant Pere de Ribes,"Carrer Joan Maragall 40, Sant Pere de Ribes",41.25995346,1.76827904,,True,False
HUTB-008369,vut,Sant Pere de Ribes,"Carrer Joan Maragall 40, Sant Pere de Ribes",41.25995346,1.76827904,,True,False
HUTB-008370,vut,Sant Pere de Ribes,"Carrer Joan Maragall 40, Sant Pere de Ribes",41.25995346,1.76827904,,True,False
HUTB-008371,vut,Sant Pere de Ribes,"Carrer Joan Maragall 40, Sant Pere de Ribes",41.25995346,1.76827904,,True,False
HUTB-008372,vut,Sant Pere de Ribes,"Urbanització ELS GARROFERS P/2, Sant Pere de Ribes",,,,False,False
HUTB-008373,vut,Sant Pere de Ribes,"Passeig Miramar 5, Sant Pere de Ribes",41.24902394,1.7958397,,True,False
HUTB-008375,vut,Sant Pere de Vilamajor,"Carrer Mallorca 1, Sant Pere de Vilamajor",,,,False,False
HUTB-008377,vut,Lliçà d'Amunt,"Camí Can Ballestà s/n, Lliçà d'Amunt",,,,False,False
HUTB-008511,vut,Santa Susanna,"Carrer Susan Park 11, Santa Susanna",41.63881844,2.71837776,,True,False
HUTB-008512,vut,Santa Susanna,"Carrer Bou 6, Santa Susanna",41.6367498,2.70557326,,True,False
HUTB-008352,vut,Sant Pere de Ribes,"Carrer Joan Maragall 40, Sant Pere de Ribes",41.25995346,1.76827904,,True,False
HUTB-008351,vut,Sant Pere de Ribes,"Carrer Joan Maragall 40, Sant Pere de Ribes",41.25995346,1.76827904,,True,False
HUTB-008350,vut,Sant Pere de Ribes,"Carrer Joan Maragall 40, Sant Pere de Ribes",41.25995346,1.76827904,,True,False
HUTB-008332,vut,Calella,"Carrer Anselm Clavé 223, Calella",41.61603962,2.66967798,,True,False
HUTB-008311,vut,Sitges,"Carrer Barcelona 19, Sitges",41.23592004,1.81240781,,True,False
HUTB-008312,vut,Sitges,"Carrer SANT HONORAT 48, Sitges",41.23866292,1.81734591,,True,False
HUTB-008313,vut,Sitges,"Carrer Santiago Rusiñol 16, Sitges",41.23687942,1.81165313,,True,False
HUTB-008314,vut,Pineda de Mar,"Carrer Pallars 11, Pineda de Mar",41.62792964,2.67155486,,True,False
HUTB-008315,vut,Pineda de Mar,"Carrer Sant Antoni 95, Pineda de Mar",41.62919148,2.69536142,,True,False
HUTB-008316,vut,Corbera de Llobregat,"Urbanització Creu Aregall Junor-Romaní 2, Corbera de Llobregat",,,,False,False
HUTB-008317,vut,Castelldefels,"Passeig de Can Solé 16, Castelldefels",41.27236032,1.95410247,,True,False
HUTB-008326,vut,Castellterçol,"Disseminat El Munt s/n, Castellterçol",,,,False,False
HUTB-008328,vut,Malgrat de Mar,"Avinguda Barcelona 34, Malgrat de Mar",41.64027274,2.73258627,,True,False
HUTB-008329,vut,Sant Cebrià de Vallalta,"Carrer Maresme 150, Sant Cebrià de Vallalta",41.64666285,2.61542314,,True,False
HUTB-008330,vut,Sant Cebrià de Vallalta,"Carrer Sant Cebrià s/n, Sant Cebrià de Vallalta",41.64757927,2.60685291,,True,False
HUTB-008333,vut,Calella,"Carrer Anselm Clavé 169, Calella",41.61490759,2.66627696,,True,False
HUTB-008349,vut,Sant Pere de Ribes,"Carrer Joan Maragall 40, Sant Pere de Ribes",41.25995346,1.76827904,,True,False
HUTB-008337,vut,Tordera,"Carrer Gardènia 14, Tordera",41.70627644,2.74175437,,True,False
HUTB-008338,vut,Tordera,"Carrer Bonavista 56, Tordera",41.7130222,2.7631015,,True,False
HUTB-008339,vut,Tordera,"Carrer Arenys de Mar 138, Tordera",41.70041143,2.66263592,,True,False
HUTB-008340,vut,Tordera,"Carrer Manresa 117, Tordera",41.70167816,2.65917262,,True,False
HUTB-008341,vut,Tordera,"Carrer Migjorn 10, Tordera",41.70611145,2.76291283,,True,False
HUTB-008343,vut,Santa Susanna,"Urbanització La Vall s/n, Santa Susanna",41.64100666,2.72178138,,True,False
HUTB-008344,vut,Vallgorguina,"Carrer Garona 6, Vallgorguina",,,,False,False
HUTB-008345,vut,Sant Andreu de Llavaneres,"Carrer Cogoll 23, Sant Andreu de Llavaneres",41.56179314,2.50622167,,True,False
HUTB-008346,vut,Sant Pere de Ribes,"Carrer Blaumar 13, Sant Pere de Ribes",41.22157998,1.75074437,,True,False
HUTB-008347,vut,Sant Pere de Ribes,"Passeig Sant Albert 2, Sant Pere de Ribes",41.24876992,1.79886492,,True,False
HUTB-008348,vut,Sant Pere de Ribes,"Carrer DE BLAUMAR 27, Sant Pere de Ribes",41.22401309,1.75252849,,True,False
HUTB-008513,vut,Santa Susanna,"Carrer Sagitari 22, Santa Susanna",41.64141281,2.71211824,,True,False
HUTB-008514,vut,Santa Susanna,"Carrer Sagitari 22, Santa Susanna",41.64141281,2.71211824,,True,False
HUTB-008535,vut,Sant Pol de Mar,"Carrer Salvador Espriu 14, Sant Pol de Mar",41.59801701,2.61232844,,True,False
HUTB-008724,vut,Santa Susanna,"Carrer Himalaia 10, Santa Susanna",41.6416905,2.71681036,,True,False
HUTB-008690,vut,Santa Susanna,"Carrer Peixos 18, Santa Susanna",41.64188607,2.71446242,,True,False
HUTB-008691,vut,Santa Susanna,"Carrer Saüc 12, Santa Susanna",41.64642595,2.70895704,,True,False
HUTB-008692,vut,Santa Susanna,"Carrer Tauré 5, Santa Susanna",41.63850853,2.71468497,,True,False
HUTB-008693,vut,Santa Susanna,"Passatge Antoni Gaudí 5, Santa Susanna",,,,False,False
HUTB-008694,vut,Santa Susanna,"Carrer Verge 14, Santa Susanna",41.63574515,2.70582256,,True,False
HUTB-008695,vut,Santa Susanna,"Carrer Casa Can Blanco s/n, Santa Susanna",,,,False,False
HUTB-008709,vut,Santa Susanna,"Carrer Saüc 4, Santa Susanna",41.64713969,2.70982808,,True,False
HUTB-008715,vut,Santa Susanna,"Carrer Milfulles 28, Santa Susanna",,,,False,False
HUTB-008719,vut,Santa Susanna,"Carrer Merles 693, Santa Susanna",,,,False,False
HUTB-008721,vut,Santa Susanna,"Carrer Nards 11, Santa Susanna",41.6523638,2.7130532,,True,False
HUTB-008723,vut,Santa Susanna,"Carretera Vella 61, Santa Susanna",41.63480244,2.71227526,,True,False
HUTB-008786,vut,Sitges,"Avinguda Emerencià Roig i Raventós 24, Sitges",41.23724853,1.8218511,,True,False
HUTB-008688,vut,Cabrera de Mar,"Passeig Montserrat 23, Cabrera de Mar",41.5101472,2.40238181,,True,False
HUTB-008787,vut,Sitges,"Avinguda Port d'Aiguadolç 2, Sitges",41.23713999,1.82535341,,True,False
HUTB-008788,vut,Sitges,"Carrer Parellades 12, Sitges",41.23646338,1.80894658,,True,False
HUTB-008789,vut,Sitges,"Carrer Muntaner 8, Sitges",41.23719583,1.80469259,,True,False
HUTB-008791,vut,Sitges,"Carrer Espalter 31, Sitges",41.23691013,1.80638356,,True,False
HUTB-008792,vut,Sitges,"Carrer Bonaire 9, Sitges",41.23605053,1.80798722,,True,False
HUTB-008793,vut,Sitges,"Avinguda Can Girona 73, Sitges",41.22676152,1.76986215,,True,False
HUTB-008794,vut,Sitges,"Carrer Pintor Marià Carbonell Llopis 12, Sitges",41.24329457,1.8121547,,True,False
HUTB-008795,vut,Sitges,"Passeig Margallo 12, Sitges",41.24785302,1.82343515,,True,False
HUTB-008796,vut,Sitges,"Avinguda Balmins 9, Sitges",41.236369,1.81613411,,True,False
HUTB-008797,vut,Sitges,"Carrer Pintor Maria Carbonell Llopis 20, Sitges",41.24284799,1.81305951,,True,False
HUTB-008798,vut,Sitges,"Passeig Ribera 44, Sitges",41.23479027,1.80700625,,True,False
HUTB-008689,vut,Santa Susanna,"Carrer Verge 1, Santa Susanna",41.63919706,2.71265414,,True,False
HUTB-008687,vut,Cabrera de Mar,"Avinguda Burriac 4, Cabrera de Mar",41.50914453,2.40329777,,True,False
