osm_id,tipo_local,nombre_comercial,tipo_cocina,calle,numero,codigo_postal,municipio,telefono,sitio_web,latitud,longitud,municipio_poligono,codi_ine,barrio,distrito
12860868679,restaurant,Codorniu,,,,,,,,41.4341362,1.7969435,Sant Sadurní d'Anoia,082401,,
12860924701,restaurant,MONTALBO,,,,,,+34933384718,,41.360466,2.1113896,l'Hospitalet de Llobregat,081017,,
12860942801,cafe,La silla rota,,,,,,,,41.3604612,2.1089038,l'Hospitalet de Llobregat,081017,,
12860965267,restaurant,Ticus,,,,,,,,41.4239014,1.7848447,Sant Sadurní d'Anoia,082401,,
12864218479,restaurant,Tarantana,,Carrer de Sant Bonaventura,2,08870,,,,41.2376226,1.8078315,Sitges,082704,,
12864218482,restaurant,Namaste,indian,Carrer de Sant Bonaventura,17,08870,Sitges,,,41.2373019,1.8075633,Sitges,082704,,
12864474601,restaurant,La Maison Belge,grill,Rambla del Brasil,53,,,,,41.3786552,2.1290254,Barcelona,080193,Sants - Badal,Sants-Montjuïc
12864475701,cafe,Santagloria,breakfast;coffee_shop;donut,,,,,,,41.3789856,2.1288687,Barcelona,080193,Sants - Badal,Sants-Montjuïc
12864494601,bar,Sandy's,,Avinguda de Madrid,100,,,,,41.3785636,2.1279734,Barcelona,080193,Sants - Badal,Sants-Montjuïc
12864500101,bar,Prados,,Avinguda de Madrid,98,,,,,41.3785166,2.1278858,Barcelona,080193,Sants - Badal,Sants-Montjuïc
12865367201,restaurant,Casa Bao,vietnamese,Carrer de l'Espanya Industrial,8,,,,,41.3757153,2.1405455,Barcelona,080193,Hostafrancs,Sants-Montjuïc
12870798655,cafe,La Kpritxosa,,Carrer Frederic Mompou,60,08830,Sant Boi de Llobregat,+34 936 614 655,,41.3560024,2.031526,Sant Boi de Llobregat,082009,,
12871815811,pub,Panxot,,,,,,,,41.3783063,2.1298003,Barcelona,080193,Sants,Sants-Montjuïc
12871851983,restaurant,O'Curnicciell,pizza,,,,,,,41.3784836,2.1297615,Barcelona,080193,Sants,Sants-Montjuïc
12871854205,pub,Cafè Miller,,,,,,,,41.3772971,2.1301769,Barcelona,080193,Sants,Sants-Montjuïc
12875391279,restaurant,El Pebrot i el Petit Cargol,,,,,,,,41.3761164,2.1367887,Barcelona,080193,Sants,Sants-Montjuïc
12875454353,pub,Ripollès,,,,,,,,41.3761868,2.13065,Barcelona,080193,Sants,Sants-Montjuïc
12875748090,restaurant,Ñam ñam,,,,,,,,41.3914017,2.1737129,Barcelona,080193,la Dreta de l'Eixample,Eixample
12876558201,restaurant,Varimar,,,,,,,,41.143226,1.4055489,,,,
12876558301,restaurant,Uni Sushi,,Carrer de Pere Badia,20-24,,,,,41.1442529,1.4033286,,,,
12876923401,restaurant,La Carta Colombiana,,,,,,,,41.1423595,1.401003,,,,
12878526801,restaurant,Sr. Han Spicy Hot Pot,chinese,Carrer de la Diputació,178,08011,,,,41.3844348,2.1593201,Barcelona,080193,l'Antiga Esquerra de l'Eixample,Eixample
12878647527,cafe,Mono Cafe,coffee_shop,,,,,,,41.3990651,2.1974872,Barcelona,080193,el Poblenou,Sant Martí
12878647543,restaurant,Restaurant Maria,,,,,,,,41.5504796,2.2461022,Montmeló,081350,,
12879092601,restaurant,Sabor De Etiopia,african,Avinguda del Doctor Ramon Solanich i Riera,9,08905,,+34931667055,,41.3743329,2.1087856,l'Hospitalet de Llobregat,081017,,
12880389702,cafe,Mañé,,Carrer de Floridablanca,91,,,,,41.3797449,2.1598439,Barcelona,080193,Sant Antoni,Eixample
12880969960,restaurant,,,,,,,,,41.5518993,2.2852694,Vilanova del Vallès,089024,,
12881536257,restaurant,Domino's Pizza,pizza,,,,,,,41.4048876,2.1413949,Barcelona,080193,el Putxet i el Farró,Sarrià-Sant Gervasi
12883049781,restaurant,Tapería Catalana,,,,,,,,41.3917625,2.1628229,Barcelona,080193,la Dreta de l'Eixample,Eixample
12883055901,bar,Bufalvent's Bar,,,,,,,,41.7192383,1.8400721,Manresa,081136,,
12883883803,bar,Vikings,,,,,,,,41.7312869,1.8271912,Manresa,081136,,
12884205912,bar,303 Audiophile Bar,,,,,,,,41.3911815,2.1729313,Barcelona,080193,la Dreta de l'Eixample,Eixample
12884643401,restaurant,La Llama,spanish,Carrer de Besalú,44,08026,,+34934353844,,41.4140338,2.1841148,Barcelona,080193,el Camp de l'Arpa del Clot,Sant Martí
12884646001,restaurant,Cobalto,spanish,,,,,,https://cobaltorestaurante.es/,41.4764581,2.3097049,el Masnou,081189,,
