DATA_EXPLO,OCUPACIO,CODI_DISTRICTE,NOM_DISTRICTE,CODI_BARRI,NOM_BARRI,EMPLACAMENT,SUPERFICIE_OCUPADA,TAULES,CADIRES,TAULES_VORERA,CADIRES_VORERA,TAULES_CALCADA,CADIRES_CALCADA,ORDENACIO,VIGENCIA,X_ETRS89,Y_ETRS89,LATITUD,LONGITUD
1/7/2026 0:00:00,Terrasses en Via Pública,2,Eixample,8,l'Antiga Esquerra de l'Eixample,"C. MUNTANER, 181",8.1,3.0,12.0,3.0,12.0,0.0,0.0,General,Anual,29095357,82641490,41.3921821002008,2.15187296313579
1/7/2026 0:00:00,Terrasses en Via Pública,2,Eixample,8,l'Antiga Esquerra de l'Eixample,"AV. ROMA, 133-135",13.5,6.0,24.0,6.0,24.0,0.0,0.0,General,Anual,29418761,81976908,41.3862248900645,2.15581839838204
1/7/2026 0:00:00,Terrasses en Via Pública,9,Sant Andreu,62,el Congrés i els Indians,"C. GARCILASO, 181-183",8.78,3.0,12.0,3.0,12.0,0.0,0.0,General,Anual,31561227,86076278,41.423331739268,2.18097712773451
1/7/2026 0:00:00,Terrasses en Via Pública,3,Sants-Montjuïc,11,el Poble Sec,"C. VILA I VILA, 74",4.5,2.0,8.0,2.0,8.0,0.0,0.0,General,Anual,30470694,80649942,41.3743649251812,2.16855092815904
1/7/2026 0:00:00,Terrasses en Via Pública,10,Sant Martí,68,el Poblenou,"PL. JULIO GONZALEZ, 10",15.75,7.0,28.0,7.0,28.0,0.0,0.0,General,Anual,33658390,83646989,41.4016277150664,2.20633839304648
1/7/2026 0:00:00,Terrasses en Via Pública,1,Ciutat Vella,1,el Raval,"C. RIERA BAIXA, 22",3.6,3.0,6.0,3.0,6.0,0.0,0.0,General,Anual,30428146,81320962,41.3804049206903,2.1679651567882
1/7/2026 0:00:00,Terrasses en Via Pública,5,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,"C. ARIBAU, 262",6.0,5.0,10.0,5.0,10.0,0.0,0.0,General,Anual,28811364,83178240,41.3969913181062,2.14841323831068
1/7/2026 0:00:00,Terrasses en Via Pública,10,Sant Martí,65,el Clot,"C. INDEPENDENCIA, 263",11.25,5.0,20.0,5.0,20.0,0.0,0.0,General,Anual,31861751,84213336,41.4065783726299,2.18478304796047
1/7/2026 0:00:00,Terrasses en Via Pública,2,Eixample,7,la Dreta de l'Eixample,"C. BERGARA, 9",12.0,4.0,16.0,4.0,16.0,0.0,0.0,General,Anual,30454050,81973786,41.3862869411592,2.16819999167265
1/7/2026 0:00:00,Terrasses en Via Pública,6,Gràcia,31,la Vila de Gràcia,"PL. NARCIS OLLER, 3",6.0,2.0,8.0,2.0,8.0,0.0,0.0,General,Anual,29395303,83197704,41.3972181062543,2.15539554783915
1/7/2026 0:00:00,Terrasses en Via Pública,5,Sarrià-Sant Gervasi,27,el Putxet i el Farró,"C. BALMES, 396",5.7,3.0,10.0,3.0,10.0,0.0,0.0,General,Anual,28055799,84174789,41.4058995835643,2.13925741011694
1/7/2026 0:00:00,Terrasses en Via Pública,2,Eixample,7,la Dreta de l'Eixample,"C. PROVENÇA, 300",24.3,9.0,36.0,9.0,36.0,0.0,0.0,General,Anual,29984477,82982957,41.3953354698227,2.1624676114144
1/7/2026 0:00:00,Terrasses en Via Pública,10,Sant Martí,65,el Clot,"AV. MERIDIANA, 116",6.75,3.0,12.0,3.0,12.0,0.0,0.0,General,Anual,32064792,84383620,41.4081292528903,2.18719291299348
1/7/2026 0:00:00,Terrasses en Via Pública,10,Sant Martí,69,Diagonal Mar i el Front Marítim del Poblenou,"PG. TAULAT, 138",6.75,3.0,12.0,3.0,12.0,0.0,0.0,General,Anual,33949540,83710170,41.4022207418433,2.2098142824839
1/7/2026 0:00:00,Terrasses en Via Pública,4,Les Corts,19,les Corts,"TRAV. CORTS, 229",11.4,4.0,16.0,4.0,16.0,0.0,0.0,General,Anual,27337035,81799013,41.3844373188902,2.13094411524785
1/7/2026 0:00:00,Terrasses en Via Pública,2,Eixample,10,Sant Antoni,"AV. PARAL.LEL, 184",17.64,4.0,16.0,4.0,16.0,0.0,0.0,General,Anual,29214757,80754339,41.3751957060204,2.15352148290997
1/7/2026 0:00:00,Terrasses en Via Pública,2,Eixample,10,Sant Antoni,"C. COMTE BORRELL, 69",4.5,2.0,8.0,2.0,8.0,0.0,0.0,General,Anual,29883574,81069105,41.3780892539769,2.16148222920643
1/7/2026 0:00:00,Terrasses en Via Pública,5,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,"C. GANDUXER, 28",18.9,6.0,24.0,0.0,0.0,6.0,24.0,General,Anual,27978440,82814872,41.3936444401342,2.13849376173371
1/7/2026 0:00:00,Terrasses en Via Pública,2,Eixample,5,el Fort Pienc,"C. CONSELL DE CENT, 448",5.7,2.0,8.0,2.0,8.0,0.0,0.0,General,Anual,31115275,83340159,41.3986503320845,2.17595233518103
1/7/2026 0:00:00,Terrasses en Via Pública,10,Sant Martí,68,el Poblenou,"C. LLULL, 169",13.74,4.0,16.0,2.0,8.0,2.0,8.0,General,Anual,33227767,83515934,41.4004116899248,2.20120167422382
1/7/2026 0:00:00,Terrasses en Via Pública,5,Sarrià-Sant Gervasi,27,el Putxet i el Farró,"RDA. GENERAL MITRE, 195",15.3,6.0,24.0,6.0,24.0,0.0,0.0,General,Anual,28286541,84089777,41.4051545325208,2.14202778959358
1/7/2026 0:00:00,Terrasses en Via Pública,2,Eixample,9,la Nova Esquerra de l'Eixample,"C. DIPUTACIO, 30",4.5,2.0,8.0,2.0,8.0,0.0,0.0,General,Anual,29018654,81100208,41.3782935565927,2.15113614709514
1/7/2026 0:00:00,Terrasses en Via Pública,2,Eixample,8,l'Antiga Esquerra de l'Eixample,"C. COMTE D'URGELL, 160",8.1,3.0,12.0,3.0,12.0,0.0,0.0,General,Anual,29200631,81997096,41.3863875480285,2.15320738466123
1/7/2026 0:00:00,Terrasses en Via Pública,6,Gràcia,32,el Camp d'en Grassot i Gràcia Nova,"C. SICILIA, 394-398",27.0,10.0,40.0,10.0,40.0,0.0,0.0,General,Anual,30454758,84151252,41.4058987113925,2.16795837798787
1/7/2026 0:00:00,Terrasses en Via Pública,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera","C. REC COMTAL, 15",4.5,2.0,8.0,2.0,8.0,0.0,0.0,General,Anual,31432679,82369034,41.3899308337467,2.17985892648548
1/7/2026 0:00:00,Terrasses en Via Pública,10,Sant Martí,68,el Poblenou,"C. PUJADES, 244",8.1,3.0,12.0,3.0,12.0,0.0,0.0,General,Anual,33434829,83887909,41.4037791396939,2.20363763046856
1/7/2026 0:00:00,Terrasses en Via Pública,4,Les Corts,19,les Corts,"TRAV. CORTS, 352",7.22,3.0,12.0,1.0,4.0,2.0,8.0,General,Anual,28161160,82404100,41.3899611197275,2.14072790463897
1/7/2026 0:00:00,Terrasses en Via Pública,2,Eixample,6,la Sagrada Família,"C. INDUSTRIA, 98",5.7,2.0,8.0,2.0,8.0,0.0,0.0,General,Anual,30700151,84244305,41.4067579996391,2.17088331770938
1/7/2026 0:00:00,Terrasses en Via Pública,2,Eixample,9,la Nova Esquerra de l'Eixample,"C. DIPUTACIO, 40",9.0,4.0,16.0,4.0,16.0,0.0,0.0,General,Anual,29052683,81133411,41.3785956056423,2.15153916934041
1/7/2026 0:00:00,Terrasses en Via Pública,6,Gràcia,32,el Camp d'en Grassot i Gràcia Nova,"C. SICILIA, 358",4.8,4.0,8.0,4.0,8.0,0.0,0.0,General,Anual,30631676,83969075,41.4042731917058,2.1700956967227
